S.No.,COMPANY NAME,DATE OF REGISTRATION,STATE,ROC,COMPANY STATUS,CATEGORY,CLASS,COMPANY TYPE, AUTHORIZED CAPITAL , PAIDUP CAPITAL ,ACTIVITY CODE,ACTIVITY DESCRIPTION,REGISTERED OFFICE ADDRESS,EMAIL
1,INDUSTRY GENOME OF INDIA PRIVATE LIMITED,03-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India,2000000,2000000,62,Other information technology and computer service activities n.e.c,"7 NAVYUG MKT GZB,,Ghaziabad, Ghaziabad, Uttar Pradesh, India - 201001",mohit.gupta@vitrana.com
2,VDOINTEL INDIA PRIVATE LIMITED,03-04-2023,Andhra Pradesh,ROC Vijayawada,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"Plot No 23, Door No 11-8-27/1,Dasapalla Hills,Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, India - 530002",biz@precistat.com
3,COSMOGENCE PRIVATE LIMITED,03-04-2023,Kerala,ROC Ernakulam,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",82,Other business support service activities n.e.c.,"Module No. 341 & 342, Second Floor,,Nila Building, Phase - 1, Technopark Campus,,Thiruvananthapuram, Thiruvananthapuram, Kerala, India - 695581",george@aot-technologies.com
4,GEDU SERVICES PRIVATE LIMITED,03-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",74,"Other professional, scientific and technical activities n.e.c.","Tower B , Second Floor,The Corenthum, Sector 62,Noida, Ghaziabad, Uttar Pradesh, India - 201301",smanglani@gedu.global
5,INDICO INTERNATIONAL PRIVATE LIMITED,04-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",46,"Wholesale of solid, liquid and gaseous fuels and related products","335, Udyog Vihar Phase-IV,,Palam Road, Gurgaon, Haryana, India - 122015",gaurav@tecnovaglobal.com
6,SPECIAL WORK AND TECHNOLOGY INDIA PRIVATE LIMITED,04-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"C 56/30, Divit Developers Pvt Ltd,Sector 62, Near Fiit Jee, Noida, Gautam Budh Nagar, Uttar Pradesh-201301,Dadri, Gautam Buddha Nagar, Uttar Pradesh, India - 201309",yukti.kashyap@sw-at.com
7,RTZEN INDIA PRIVATE LIMITED,05-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 5,00,000 ",62,Other information technology and computer service activities n.e.c,"Flat 1803, Tower 20,Prajay Megapolis, KPHB Phase 9,Tirumalagiri, Hyderabad, Telangana, India - 500085",karthik@rtzen.ai
8,DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,05-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c,"404,Tuntex Tower, Omaxe Heights,,Sector 86, Faridabad,Faridabad, Faridabad, Haryana, India - 121002",adithya61999@gmail.com
9,TOPTECH GLOBAL INDIA PRIVATE LIMITED,05-04-2023,Punjab,ROC Chandigarh,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"3rd FLOOR  SRK MALL,14 MALL ROAD,Amritsar -I, Amritsar, Punjab, India - 143001",dinesh@fortunaadvisors.com.au
10,CARUS DIGITAL TECHNOLOGY SERVICES INDIA PRIVATE LIMITED,05-04-2023,Tamil Nadu,ROC Coimbatore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 2,00,00,000 "," ? 61,60,000 ",62,Providing software support and maintenance to the clients,"39, KRK Nagar,,Coimbatore South, Coimbatore, Tamil Nadu, India - 641007",c.narayanan@carus-digital.com
